Title,Created Date,smokeTests_certificate,sanity_sanityTests_certificate,regressionTests_certificate,useCaseTesting_certificate,endToEnd_systemTests_certificate,uatTest_certificate,databaseTests_certificate,serviceTesting_certificate,loadTests_certificate,stressTests_certificate,spikeTests_certificate,volumeTests_certificate,TipoDeEjecucionCertificate,automatedFunctionality_certificate,candidateToAutomate_certificate,loadTestsExecuted_certificate,loadingScript_certificate,loadTestingCandidate_certificate,executionEnvironment_certificate,Tipo de Incidente,Esfuerzo_certificate,unitTestingDevelopment_certificate,integrationTestingDevelopment_certificate,closedTests_certificate,critical_highBugs_certificate,opinion_certificate,EVC_CelulaCertificate,Enviroment
QA - 654549 - Nueva pantalla Sport and Marketing,19/01/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,0,T,T,T,F,Satisfactorio,Depósito Transaccional y Seguros/La Academia,
"656,524 - Nueva pantalla ingreso de niveles Covenants",23/01/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,0,T,T,T,T,Satisfactorio,Otros,
CERTI - PERSONAS - LEGIÓN DE HIERRO: Aviso de Viaje App,02/02/2023,T,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,QA,Express,150,T,T,T,F,Satisfactorio,Aceleradora/Canal Personas,
"CERTI- A18 - ALPHA: Actualización de datos, modificación de campo de NIT",02/02/2023,F,F,F,F,F,F,T,F,F,F,F,F,Manual,F,F,F,F,F,QA,Evolutivo,5,T,T,T,F,Satisfactorio,Actívate 18/Alpha,
CERTI-REQ CLIENTE-NEW CORE: Agregar de tipo de carga al archivo de EF,02/02/2023,F,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,F,T,F,Satisfactorio,Depósito Transaccional y Seguros/Req Client - New Core,
CERTI-REQ CLIENTE-NEW CORE: Desactivar la causa de inscripciones del colegio los Andes,02/02/2023,F,F,F,T,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,1,T,F,T,F,Satisfactorio,Depósito Transaccional y Seguros/Req Client - New Core,
CERTI - TRANSACCIONAL - LA ACADEMIA: Habilitar el envío de reporteria de CashCar 2.0,02/02/2023,F,F,F,T,F,F,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,2,T,F,T,F,Satisfactorio,Depósito Transaccional y Seguros/La Academia,
CERTI-BEG 18-NEG. TRANSACCIONAL: Divisas sin cuenta,02/02/2023,T,F,F,T,T,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,21,T,T,T,F,Satisfactorio,Beg 18/Negocio Transaccional2,
CERTI-CICLO CRÉDITO-AREA 51: Delimitación de montos para Usuarios y negociadores de Divisas,03/02/2023,F,F,F,F,F,T,F,F,F,F,F,F,Manual,F,F,F,F,F,Desarrollo,Express,4,T,T,T,F,Satisfactorio,Ciclo de Crédito/Mantenimiento Producto Activo,
CERTI - BEG 18 - TRANSACCIONAL: Configuración Inicial de Trazabilidad,06/02/2023,F,F,F,T,F,F,T,F,F,F,F,F,Manual,F,F,F,F,T,QA,Evolutivo,47,T,T,T,F,Satisfactorio,Beg 18/Negocio Transaccional2,
